TEAM,YEAR,POSTSEASON
Akron,2024,-1
Alabama,2024,-1
Arizona,2024,-1
Auburn,2024,-1
Baylor,2024,-1
Boise St.,2024,-1
BYU,2024,-1
Clemson,2024,-1
Colgate,2024,-1
College of Charleston,2024,-1
Colorado,2024,-1
Colorado St.,2024,-1
Connecticut,2024,-1
Creighton,2024,-1
Dayton,2024,-1
Drake,2024,-1
Duke,2024,-1
Duquesne,2024,-1
Florida,2024,-1
Florida Atlantic,2024,-1
Gonzaga,2024,-1
Grambling St.,2024,-1
Grand Canyon,2024,-1
Houston,2024,-1
Howard,2024,-1
Illinois,2024,-1
Iowa St.,2024,-1
James Madison,2024,-1
Kansas,2024,-1
Kentucky,2024,-1
Long Beach St.,2024,-1
Longwood,2024,-1
Marquette,2024,-1
McNeese St.,2024,-1
Michigan St.,2024,-1
Mississippi St.,2024,-1
Montana St.,2024,-1
Morehead St.,2024,-1
Nebraska,2024,-1
Nevada,2024,-1
New Mexico St.,2024,-1
North Carolina,2024,-1
North Carolina St.,2024,-1
Northwestern,2024,-1
Oakland,2024,-1
Oregon,2024,-1
Purdue,2024,-1
Saint Mary's,2024,-1
Saint Peter's,2024,-1
Samford,2024,-1
San Diego St.,2024,-1
South Carolina,2024,-1
South Dakota St.,2024,-1
Stetson,2024,-1
TCU,2024,-1
Tennessee,2024,-1
Texas,2024,-1
Texas A&M,2024,-1
Texas Tech,2024,-1
UAB,2024,-1
Utah St.,2024,-1
Vermont,2024,-1
Virginia,2024,-1
Wagner,2024,-1
Washington St.,2024,-1
Western Kentucky,2024,-1
Wisconsin,2024,-1
Yale,2024,-1
