Houston,117.0749377,87.84900275,0.9645226806,31–3,31,34,52.7,42.5,28.5,35.8,15.3,22,37.1,27.4,64.8,53.2,43.1,34.5,27.8,16.4,6.6,53.8,53.6,37.8,43.7,64,,,,2023,,,1,8.403224641,71.9,69
Alabama,115.5623286,88.36160329,0.9563234053,29–5,29,34,52.7,41.5,36.7,32.8,19,16,33.8,27.6,72.8,54.6,41.2,33.8,28.1,11.3,11.4,54.8,41.8,47.8,30.6,73.4,,,,2023,,,1,10.56577973,72.6,71.4
UCLA,112.9156562,87.42266205,0.9499171358,29–5,29,34,50.9,46.8,27.1,27.6,15.3,23.6,33.7,27.6,67.3,50.4,46.8,34.7,31.1,11.9,6.3,50.9,51.3,29.1,39.3,67,,,,2023,,,2,8.455387926,72.2,69.7
Tennessee,111.0736433,86.07373067,0.9494238633,23–10,23,33,50.3,42.4,30.9,34.9,18.1,22.2,36.8,26.9,66.2,51,44.6,32.9,26.2,11.8,8.5,66.2,50.1,40.4,41.6,66.3,,,,2023,,,4,3.139682351,71.4,72.2
Connecticut,118.3436675,92.50348096,0.9444324805,25–8,25,33,53.5,45.5,31.4,38.7,18.9,19.4,39.2,26.2,68.6,53.4,45.8,35.7,30,12.9,8.3,62.6,41,42,30.3,67.7,,,,2023,,,4,4.973312232,75.4,73.6
Purdue,118.3725326,93.0543484,0.9408946327,29–5,29,34,52.2,47.2,37.2,19.3,17,15.4,38.3,23.3,64.2,54.1,47.4,32.6,31.4,9.7,8.6,60.9,51.5,38.1,35.4,64.8,,,,2023,,,1,9.190849556,74.3,73.6
Saint Mary's,111.8047599,88.79791202,0.9339799498,25–7,25,32,52.5,46.7,31.2,30.3,16.4,19,33.1,21.8,63.6,51,45.6,36.7,32.8,9.9,10.1,48.3,36.6,37,31.8,62.8,,,,2023,,,5,3.926679724,69.1,75.2
Texas,114.6687941,91.41953014,0.9312320735,26–8,26,34,52.7,47.8,31.5,34.5,16.5,22.8,28.3,29.4,70.3,53.8,47.2,33.9,32.7,10.1,8.3,57.1,48.3,35,35.4,69.5,,,,2023,,,2,8.035027792,75.2,72.4
Arizona,119.4892885,95.70153023,0.9277689754,28–6,28,34,56.8,47.2,36.5,26,18.4,16.9,31.1,26.2,72.9,56.6,45.9,38.2,32.8,8.3,9.3,65.3,49.4,38,38.7,73.1,,,,2023,,,2,7.522750205,70.9,71.4
Gonzaga,122.742363,98.38229879,0.9271765844,27–5,27,32,58.5,51.7,34.2,26.7,14.6,18.8,31.1,26,71.5,59,51.2,38.4,35,9,5.6,50.7,45.3,32.8,39.4,70.7,,,,2023,,,3,7.080721448,70.2,73.5
San Diego St.,111.7398601,89.81609055,0.9249584968,26–6,26,32,50.1,47.5,34.3,29.4,17.6,19.6,31.7,25.8,66.5,49.4,49.9,34.4,29.2,11.3,7.9,51.9,47.2,34.9,40.1,66.8,,,,2023,,,5,6.520247437,73.6,73.6
Kansas,112.8992867,91.33104434,0.9196840586,27–7,27,34,52.4,47.1,29.8,31.2,17.5,20.2,28.4,28.3,70.1,52.9,47.2,34.4,31.2,10,7.3,59.5,46.2,34.1,35.1,69.8,,,,2023,,,1,10.46845439,71.7,72.3
Marquette,118.2772644,96.41301273,0.9129731243,28–6,28,34,56,51.1,27.1,29,15.2,22.8,26.5,32.1,69.6,58.8,50,34.8,35.2,8.7,9.6,59.3,58.6,41.9,37.5,69.3,,,,2023,,,2,7.473936812,72.1,69.8
Baylor,121.1098461,99.37220014,0.90678476,22–10,22,32,53.1,51.4,37.2,31.4,18.1,19.9,34.7,31.1,67.9,50.8,53.3,37.2,32.2,6.8,9.3,56.4,60.4,45.3,37.8,67.7,,,,2023,,,3,5.684777707,74.9,70.7
Creighton,113.3107177,93.06721892,0.9057945988,21–12,21,33,54.3,47.3,28.1,19.8,16.6,14.3,25.5,23.3,69.4,54.5,45.6,36,34.1,9.5,8.3,57.8,47.1,42,29.8,68.6,,,,2023,,,6,1.889714719,76.7,72.9
Memphis,113.9112158,93.9412012,0.9017328127,26–8,26,34,53.2,46.8,35.9,34.9,18.4,20.9,31,32.3,72.6,53.1,47.2,35.6,30.8,13.2,9.6,54.6,55.7,28.8,42.9,72.2,,,,2023,,,8,5.118745212,74.7,73.9
Arkansas,110.8057877,91.71178717,0.8979794681,20–13,20,33,52,46.5,38.8,38.9,18.3,20.4,30.5,28.2,70.1,53.8,46.9,31.7,30.6,13.4,6.8,49.6,44.2,28.2,30.1,70.3,,,,2023,,,8,0.8915257118,69,71.4
West Virginia,116.0691979,96.29247035,0.8954966015,19–14,19,33,51.7,50.7,39.7,38.5,18.5,20.9,33.7,29.3,69.9,51.3,50.5,34.8,34.1,8.7,6.3,50.5,50.3,36.3,35,69.4,,,,2023,,,9,1.835667437,74.1,72.7
Iowa St.,108.2817306,90.16651197,0.8914270266,19–13,19,32,50.7,50.1,27.8,40,19.8,25.1,33.9,26.6,65.8,50.7,49.6,33.9,33.8,11.2,7.7,54.9,57.5,33.8,46.8,64.9,,,,2023,,,6,2.65455682,67.4,71.9
Texas A&M,113.4578218,94.80711586,0.8874791892,25–9,25,34,49,47.9,45.9,35.1,18.3,21.1,36.7,30.4,67.3,49,47.4,32.8,32.3,7.9,11.2,52.8,59.3,33.7,45.9,66.9,,,,2023,,,7,4.132671055,75.9,70.4
Xavier,118.0590882,98.72564782,0.8866193989,25–9,25,34,55.6,50.4,30.8,27.1,17.5,16.5,31.8,25.4,71.9,54,48.7,39.5,35.9,7.8,9.4,63.8,54.3,31.3,34.2,71.1,,,,2023,,,3,5.089023602,71.4,72.4
Auburn,111.0794813,93.04797335,0.8846278535,20–12,20,32,49.6,45.6,35.5,39.1,18.1,19.3,33.3,32,68.7,51,46.9,31.4,28.8,13.7,8.6,55,48.7,35.4,34.2,68.4,,,,2023,,,9,1.489083013,70.2,70.5
Duke,111.3765887,93.35678735,0.8838719359,26–8,26,34,51.1,46.3,30.8,24.1,18.2,16.6,36.2,25.9,65.7,51.4,46.7,33.6,30.4,12,9.6,56.4,47.9,35.4,35.1,66,,,,2023,,,5,4.261821528,77,76.5
Kansas St.,110.4715502,92.91425879,0.8797886645,23–9,23,32,51.5,47.5,37,36.7,20,20.7,31.1,29.2,70.7,51.8,48.8,34,30.1,7.7,10.6,64,56,36.3,36.8,70.7,,,,2023,,,3,4.731826305,75,69.2
Utah St.,115.9957247,97.65521639,0.878603107,25–8,25,33,55.6,47.8,35.5,30.2,17.4,15.8,27.4,24.8,69.1,54.1,45.9,38.5,34.3,8.7,7.5,62.3,46.9,42.1,33.8,69.5,,,,2023,,,10,3.872876267,76.7,74.2
TCU,110.5455893,93.29624802,0.8755505558,21–12,21,33,50.2,47.8,33.9,29.7,17.1,21.9,32.4,30.7,70.9,51.9,49.1,30.6,30.4,12.5,10.1,58.6,55.9,29.4,35,70.5,,,,2023,,,6,2.632312989,70.1,71.1
Virginia,110.088741,93.7020414,0.8645279417,25–7,25,32,51.3,48.3,34.5,26.1,13.7,19.7,25.5,25,62.4,50.4,46.5,35.3,34,13.5,11,65.8,52.9,36.1,39.7,62.1,,,,2023,,,4,3.960212749,70.1,74.8
Kentucky,114.7257465,97.71269671,0.8636448843,21–11,21,32,51.2,48.8,32.5,29.9,17.3,16.8,38.7,25.5,66.8,50.4,48.3,35.4,33.1,10.2,5.2,55.7,47.8,30.1,35.2,66.7,,,,2023,,,6,1.965320192,70.3,74.4
Boise St.,108.5465682,92.50874853,0.8627800542,23–9,23,32,51.9,47.3,30.7,27.4,16.7,17.7,26.4,23.8,67,50.7,47.8,36,31,8.2,9.5,43,46,37.9,37.4,67.2,,,,2023,,,10,2.926673449,73.9,69.3
Florida Atlantic,111.6072321,95.2916841,0.8602656371,29–3,29,32,55,45.9,29.5,26.7,16.7,18.3,30.4,24.5,68.7,54.3,44.8,37.2,32,6.6,7.2,51,33.4,43.8,34.2,68.9,,,,2023,,,9,4.29963212,71.8,74.9
Michigan St.,111.2714005,95.11495309,0.8586581984,19–12,19,31,51.6,48.1,25.8,28.6,16.4,14.7,27.4,25.2,65.4,47.7,48.6,39.5,31.5,8.1,9.4,57.6,52.5,33.1,38.3,65.6,,,,2023,,,7,2.387101616,76.2,72.1
