Abilene Christian,100.7678528,104.6335359,0.3934306248,14–17,14,31,46.8,52.1,38.7,40.4,17.5,20.7,26.1,30,70.6,45.3,53,34.2,33.3,5.5,8,48.4,46.5,25.5,31.3,69.5,,,,2024,,,,-11.26844168,73.6,69.3
Air Force,105.5805991,110.6606207,0.3680888966,9–22,9,31,53.8,54.2,29.6,39.1,18.8,17.6,23.8,31.5,63.4,53.6,53.7,36.1,36.6,11.8,11.3,62,49.9,47.2,36.7,62.9,,,,2024,,,,-13.53067266,68.2,74.7
Akron,105.7242226,101.8791211,0.6049278014,22–10,22,32,52,48.6,33.6,29,17.2,16.6,29.5,25.6,66.7,54.8,50.7,32,30,8,7.8,48.2,45.4,41.5,36.8,66.7,,,,2024,,,14,-4.516090419,72.4,69.4
Alabama,125.6656974,101.4603385,0.9213264921,21–11,21,32,56.3,49.9,35.2,39.6,16,15.6,34.9,29.9,74.2,57.6,51.1,36.5,31.9,10.2,12.5,51.5,45.1,46.8,36.7,73.5,,,,2024,,,4,3.436866503,78.4,74.3
Alabama A&M,92.65561859,109.7530725,0.1248317077,11–22,11,33,45.5,49.2,47.9,46.3,22.5,19.8,31.7,32.7,71.8,46.6,46.7,28.5,35.7,10.8,8.5,45.7,54.2,27,36.8,71.3,,,,2024,,,,-17.5712227,71.9,74.9
Alabama St.,92.43318031,104.7090096,0.1924699374,10–19,10,29,41,49.1,28.5,43.4,16.3,20,31.7,29.1,69.1,40.4,47.6,28,34.1,11.1,12.5,44.4,53.3,38.4,41,68.1,,,,2024,,,,-13.80472055,71.9,73.4
Albany,103.5384556,110.2600077,0.3266603005,12–19,12,31,50.4,51.4,29.2,38.9,17.7,17,30.6,29.4,74.4,51,54.6,32.9,29.3,7.4,11.5,44.5,46.6,36.9,29.6,74,,,,2024,,,,-13.88306258,72.5,72.4
Alcorn St.,105.0841302,116.9085796,0.2268373187,13–18,13,31,48.9,55,37.4,36.6,17,17.2,33.4,30.6,68.3,48,54,34.2,37.5,5.9,9.6,45.5,60,26.6,45.8,67.6,,,,2024,,,,-11.38823774,71.6,73.1
American,103.1454675,113.5485598,0.2487970591,15–16,15,31,52.5,53.4,28.4,29.8,17.3,17,27.9,25.6,62.9,52.8,51.9,34.7,36.9,5.5,8.5,56.4,51.9,44.9,42.3,63.8,,,,2024,,,,-12.39168765,72.4,69.9
Appalachian St.,106.0785807,98.34476397,0.7048621428,25–6,25,31,52.7,45.1,32.3,19.8,15.3,14.6,29.7,27.8,68.6,53.8,43.7,33.6,32.1,14.8,5.7,48.8,41,31.1,32.7,67.7,,,,2024,,,,-1.043454483,68.5,69.4
Arizona,121.5443341,93.41359945,0.953791648,25–8,25,33,55,48.7,36.7,25.7,16.1,18.1,36.3,23.1,73.4,54.6,47.8,37.1,33.4,9,8.6,59.1,52.6,32.6,38.2,73,,,,2024,,,2,4.887104612,71.9,71.1
Arizona St.,102.8696337,98.63743749,0.6184875477,14–18,14,32,47.3,51.7,33.1,31.2,14.8,19.4,21.8,29.7,70.6,48.6,52.2,30.1,34,10.2,7.2,48.7,57.5,37.7,39.2,70,,,,2024,,,,-5.649818115,65.5,70.8
Arkansas,109.2972561,102.5485906,0.6754517083,16–17,16,33,50.5,50.4,45.3,39,16.3,15.1,25.2,29.8,72.2,51.8,50.1,31.8,33.9,14.9,7.5,45.1,47,32.9,34.1,71.6,,,,2024,,,,-4.79864464,75.6,72.7
Arkansas Pine Bluff,101.5945555,119.3815617,0.1352459207,9–18,9,27,51.5,52.6,40.2,32.5,18,15.4,22.9,34,73.1,48.4,56,36.5,31.4,4.5,12.3,55.1,55.4,49.4,38.3,72.8,,,,2024,,,,-13.29031129,75.8,73.3
Arkansas St.,112.257519,109.6183499,0.567974841,18–16,18,34,51.7,50.4,32.7,35.7,16.2,14.1,33.9,28.7,70,51.3,49.4,34.9,35.4,10.1,12,52.7,40.5,43.5,27.1,69,,,,2024,,,,-8.818586307,70.4,76.2
Army,90.84960316,108.6134444,0.113670752,8–22,8,30,47.1,50.3,25.4,31.6,18.9,16.6,27,25.5,63.2,46.5,50.6,31.8,33.2,11.4,10.2,56.3,55.9,45.1,39.5,64,,,,2024,,,,-19.45714159,59.8,70.6
Auburn,120.6703841,92.18961784,0.9567264089,27–7,27,34,54.1,43.4,38.2,41,14.9,18.2,32.9,30.3,71,54.9,42.8,35.2,29.8,16,8.6,62,42.8,37.5,33.3,70.8,,,,2024,,,4,5.472952467,75.2,73.6
Austin Peay,106.1869604,112.9225805,0.3302038806,16–15,16,31,50.7,53.1,31.8,37.8,13.3,16.3,30.2,31.4,65.2,48.9,54.1,36.2,34.3,7.4,9,39.8,46.3,34.8,36.4,65.2,,,,2024,,,,-10.42107567,71.1,70.8
Ball St.,102.6461333,110.2082187,0.3063018213,13–16,13,29,50.8,51.3,38.2,27.6,18.2,16.2,27.3,27.9,67.5,48.7,50.6,36.1,35.1,7.9,9.1,51.5,47,37.9,35.2,67.6,,,,2024,,,,-12.47388123,77.5,71.4
Baylor,122.4910312,100.1324248,0.9103371846,22–10,22,32,55.6,51.3,40.5,30.9,17.7,17.1,35.1,27.1,66.8,53.4,51.9,39.4,33.5,8.5,9.8,53.9,52.9,38.3,35.5,66.7,,,,2024,,,3,5.08132324,74,73
Bellarmine,99.93939164,110.9094166,0.2318804131,5–23,5,28,49,53.9,21.4,31.9,14.5,14.6,21.8,29.4,66.5,48.3,55.1,33.6,35,4.6,8.2,50.1,51.3,37.3,44.4,66,,,,2024,,,,-17.39448677,77.6,74.7
Belmont,108.8254603,103.0714873,0.6512887696,19–13,19,32,55,51.1,30.3,27,16.7,16.4,21,27.5,71.9,54.5,52.2,37.2,33,7.9,8.6,55.3,54.3,41.9,39.8,72.1,,,,2024,,,,-5.203734971,73.2,72
Bethune Cookman,96.73739934,109.2757534,0.1975692843,15–16,15,31,47.1,49.9,39,48.7,19.9,21.9,29.4,32.9,70.7,46.9,49,31.8,34.3,9.4,7.6,48.1,59.8,30.3,35.7,70.4,,,,2024,,,,-12.36812683,75.9,71.4
Binghamton,101.4855418,110.3548406,0.2761732808,13–15,13,28,49.4,50,34.3,34.8,18,13.3,29.1,25,68.2,51.4,48.4,29.9,35,10,11.7,54.7,43.8,30.7,38,67.5,,,,2024,,,,-10.59204846,67.4,73.3
Boise St.,113.4362018,97.45577066,0.851470631,20–10,20,30,51.6,49.8,36.1,33.1,16.5,16.8,32.5,23.1,66.6,51.2,52.1,34.8,30.6,6.9,11.3,46.9,47.5,39.8,36.9,67.6,,,,2024,,,10,0.876630104,74,72.2
Boston College,112.2324755,102.2997711,0.7437682209,19–15,19,34,52.7,50.4,25.5,28.4,15.5,16,27.3,26.7,68,51.8,49.5,36.1,34.6,9.6,8.7,51.6,51.2,38.5,37.8,68.1,,,,2024,,,,-3.644274043,75,74.7
Boston University,97.25317978,107.6037329,0.2381075221,15–17,15,32,47.8,50,30.2,36.2,17.7,16.9,26.6,23,65.7,46.8,48.7,32.8,34.6,9.8,9,54.8,50.3,40.8,41,66.8,,,,2024,,,,-14.1025951,72.3,69
Bowling Green,101.9025919,106.8975649,0.3657908372,18–13,18,31,48,51.1,35.2,27.4,16.2,16.1,30.7,25.5,68.4,50,49,29.5,36.8,6.6,9.8,42,47,34.8,34.5,68.5,,,,2024,,,,-9.442293001,70.8,67.4
Bradley,111.8311952,99.14829351,0.7996806966,21–11,21,32,55.7,47.6,27.5,35.7,18.1,18.5,28.5,27.9,67,55,46.2,37.7,33.2,11.6,5.8,48.8,50.2,42.1,38,67.2,,,,2024,,,,-3.402871428,73,73
Brown,103.3219612,106.2301101,0.4208675881,12–18,12,30,49.7,51.2,33,32.1,18.3,16.8,31.9,27.3,67.6,49.2,52.2,33.7,33.1,11.6,9.4,53,51.3,40.7,38.2,68.2,,,,2024,,,,-11.72517859,65.5,69.6
Bryant,99.87965886,100.365684,0.486047492,18–13,18,31,50.7,45.4,29.9,33.8,15.8,16.7,20.4,30.2,75.4,51.7,45,32.7,30.8,14.8,8.5,50.8,46.6,37.7,35.1,75.1,,,,2024,,,,-7.180073687,66.5,69.9
Bucknell,98.99091042,107.8643868,0.2714580933,14–19,14,33,50.4,49.5,29,31.5,18.9,16.4,25.9,28.6,64.1,50.2,50.1,33.8,32.4,10.7,10.7,52.6,60.2,44.9,42.2,65.8,,,,2024,,,,-14.50164587,71.6,70.2
Buffalo,95.02020232,114.4790773,0.1050360953,3–27,3,30,47.3,53.9,26,28.7,20,15.1,28.3,30.6,70.1,51.6,53.5,27.5,36.5,11,8.1,52.4,53.6,41.4,35.1,69.9,,,,2024,,,,-22.04780535,71.1,72.4
Butler,113.1360578,99.02161699,0.8223585226,17–14,17,31,51.8,49.9,27,22.5,15.2,16.1,26.2,29,69.3,51.5,50.7,34.8,32.5,8.2,10.6,53,46.9,38.2,37.6,69.4,,,,2024,,,,-0.8653375618,78.9,74
BYU,120.6304713,98.22041952,0.9139977404,23–10,23,33,55.1,48,25.3,32.1,15.2,16,32.8,24.7,70,58,48.2,34.8,31.8,7.7,7.1,63.2,47.2,50.7,34.1,70,,,,2024,,,6,2.87018548,73.8,69.8
Cal Baptist,101.5617551,105.9467532,0.3808126379,14–17,14,31,47,49.2,36.8,30.3,17.6,15.3,32.7,24.9,65.3,45.7,48.4,32.9,34.3,6.4,9.9,48.2,45.6,36,26.8,64.5,,,,2024,,,,-12.05601833,68.7,72
Cal Poly,93.40559705,111.389569,0.1166083453,3–28,3,31,46,51.5,31.3,41.9,18.6,17.3,24.3,33.6,66.4,44.1,50.8,33,35.6,9.3,8.9,43.7,46.9,34,30.3,66.7,,,,2024,,,,-23.25446468,70.4,74.7
Cal St. Bakersfield,99.72446097,106.8140601,0.3122108419,11–19,11,30,47,50,32,46.7,18.3,18.6,32.9,31.2,65.7,46.6,49.1,32.1,34.3,10.4,7.4,41.5,51.5,25.7,36.7,65.7,,,,2024,,,,-13.70709727,72.4,72.8
Cal St. Fullerton,99.17938442,103.9570945,0.367942662,12–18,12,30,48,49.9,38.6,35.6,18.1,17.9,24.3,29.6,67.3,47.7,51.3,32.2,31.8,9,8.2,36.8,51.2,36.2,38.6,67.3,,,,2024,,,,-11.64420218,71.7,71.8
Cal St. Northridge,99.18473778,104.7166715,0.3488374736,17–15,17,32,48.9,48.3,37.6,39.5,19,18,31.1,26.9,73,50.3,47.2,30,33.1,10.1,7.8,50.1,59.2,26.4,44.5,73.6,,,,2024,,,,-10.36826701,67.5,73.1
California,108.4640195,103.4120432,0.6337913048,13–19,13,32,49.2,51.3,29.2,33.1,16.2,14.7,28.6,26.7,69.8,48,50,33.8,35.7,6.7,9.9,46.5,47,42,36.2,69.3,,,,2024,,,,-7.509360917,72.7,72.3
Campbell,99.53881617,111.3509203,0.2159208187,11–18,11,29,52,52.2,33.7,23.6,18.1,16.4,23.8,31.2,66.5,52,52.9,34.6,34.1,6.7,9.9,51.9,51.1,38.6,43.3,67.3,,,,2024,,,,-13.74955064,71.9,72.2
Canisius,100.5732382,106.7251779,0.3356443852,13–18,13,31,49.6,51.2,27.5,28,19.1,16.3,32.8,28.1,68.2,49.7,51,32.9,34.4,8.2,7.5,47.8,51.1,36.1,31.8,68,,,,2024,,,,-13.1753213,61.9,70.6
Central Arkansas,96.94265536,114.3016373,0.130755572,7–23,7,30,47.5,54,29.3,33.7,18.1,15.4,28.3,31.4,70.1,45.2,51.9,34.2,37.9,9.2,7.9,53.7,47.8,37.8,42.1,70.1,,,,2024,,,,-18.87793065,75.1,72.7
Central Connecticut,99.89113967,108.560374,0.2774606187,18–11,18,29,50.2,49.6,33,26.7,16.7,17.5,27.6,26.8,67.4,50.8,48.2,32.8,34.8,12.2,8.7,54.2,56,35.4,35.2,67.6,,,,2024,,,,-8.087189331,70.7,68
Central Michigan,96.08391611,104.0000703,0.2869075888,17–14,17,31,46.8,47.3,27.4,30.6,17.5,16.2,28.6,30.7,66.2,47.7,47.7,30.1,31.2,10.4,8.8,46,52.2,35.2,40.8,66.3,,,,2024,,,,-8.145565072,66.1,74.4
Charleston Southern,94.94044801,108.0397021,0.1844682779,7–20,7,27,45.2,50.9,31.2,33.5,18.1,13.4,27,29,67.6,44.1,52.3,31.4,31.9,7.4,8.2,40.7,44.5,35.9,31.5,67.7,,,,2024,,,,-14.0764466,73.2,70.8
Charlotte,108.4940376,101.6214617,0.6797374269,18–12,18,30,50.8,48.5,35.2,31.5,15.5,15.2,26.1,29,63.2,53.2,49.5,31.3,31.1,9.5,8,53.6,45,38.2,36.6,63.4,,,,2024,,,,-4.97363214,75.2,70.9
Chattanooga,109.0249349,108.4087054,0.5162903732,19–12,19,31,54.8,49.9,30.9,27.3,17.1,14.5,27.2,28.8,68.2,56.1,47.9,35.7,35.1,9.6,9.9,49.6,48,50.5,42,67.7,,,,2024,,,,-6.881333904,74.9,67.9
Chicago St.,96.86639458,107.3110673,0.2354857898,9–18,9,27,45.7,53,38.9,36.4,20.5,21.5,32.2,35.7,66.6,46.1,55.3,29.9,32.5,8.1,8.5,44.1,50.2,34.2,35.3,66.2,,,,2024,,,,-12.35495261,69.9,69.1
Cincinnati,111.2609111,95.72569032,0.8493484251,20–14,20,34,50,47.6,27.9,29.6,17.4,17.6,37.2,25.6,68.4,50.8,46.4,32.4,33.3,11.5,9.3,53,52.5,36.1,34.2,68.3,,,,2024,,,,-0.7114840835,69.3,75.4
Clemson,117.1700253,99.4830122,0.8678235549,21–11,21,32,53.9,48.7,30.6,31.2,14.9,13.6,27.7,25.2,67.6,54.4,47.1,35.4,34,11.2,6.8,53.4,44.1,40.2,40.6,67.2,,,,2024,,,6,0.9404449351,79,74.4
Cleveland St.,106.64026,109.9319815,0.4134774405,19–14,19,33,49.9,51.5,31.4,38.4,15,19.5,34.2,35.2,68.4,49.7,55.1,33.5,30.5,11.1,7.3,47.2,50.8,31.3,37.9,68.3,,,,2024,,,,-8.680035072,67.4,69.9
Coastal Carolina,99.12156232,111.6151196,0.2034030282,7–22,7,29,49.4,50.1,32.5,29.5,19.1,12.7,29.3,30.5,71.1,50,50.6,32.1,33,8.5,9,45.9,56.5,32.9,46.6,70.3,,,,2024,,,,-17.63596324,67.4,69.4
Colgate,102.2605602,102.4160446,0.4956320724,24–9,24,33,53.4,47.2,27.6,24.5,16.3,16.1,25,24.5,66.1,53.3,48.7,35.7,29.9,9.8,7.3,56.6,52.9,38.3,39.6,67.2,,,,2024,,,14,-4.123188347,68,67
