"UC Santa Barbara",104.64855825855,109.91343745332,0.36251088633818,14–15,14,29,53.3,50.6,39.7,31,19.1,14.3,25.2,26.6,68.5,53.4,51.8,35.4,32.1,7.9,7.1,50,45.9,30.5,33.7,68.2,,,,2024,,,,-10.520275178983,74.4,68.2
"Arkansas Pine Bluff",101.5945554938,119.38156167994,0.13524592067754,9–18,9,27,51.5,52.6,40.2,32.5,18,15.4,22.9,34,73.1,48.4,56,36.5,31.4,4.5,12.3,55.1,55.4,49.4,38.3,72.8,,,,2024,,,,-13.290311287659,75.8,73.3
"Portland St.",98.740590049577,104.91383309773,0.332389471055,14–15,14,29,46.8,52,34.3,34.7,16.4,18.6,29.8,28.3,69.1,45.6,51.1,32.4,35.6,8.6,9.8,43.2,54.2,37.6,38.2,70.2,,,,2024,,,,-10.885841500041,68.8,69.5
Indiana,109.84800378573,100.0085780128,0.74633861111687,19–14,19,33,52.1,49,37.7,31.6,17.5,14.9,26.9,29.7,69.4,53.4,47.4,32.4,34.3,11.2,7.5,57.3,52.8,27.8,41.2,69.4,,,,2024,,,,0.053537715607556,66.4,75
"North Carolina St.",113.4282415478,100.96635984127,0.79222746503804,22–14,22,36,50.7,50.5,32.5,31.9,13.7,17.9,28.6,29.3,68.9,50.1,49.5,34.6,34.9,9.3,7.7,46.1,48.4,33.5,35.3,68.9,,,,2024,,,,-0.58130720007086,73.4,73.2
"Central Michigan",96.083916108593,104.00007025429,0.28690758881895,17–14,17,31,46.8,47.3,27.4,30.6,17.5,16.2,28.6,30.7,66.2,47.7,47.7,30.1,31.2,10.4,8.8,46,52.2,35.2,40.8,66.3,,,,2024,,,,-8.145565072328,66.1,74.4
Brown,103.32196116725,106.23011006236,0.42086758813385,12–18,12,30,49.7,51.2,33,32.1,18.3,16.8,31.9,27.3,67.6,49.2,52.2,33.7,33.1,11.6,9.4,53,51.3,40.7,38.2,68.2,,,,2024,,,,-11.725178590149,65.5,69.6
"Wright St.",115.84770081224,113.91219850386,0.54828829417866,16–14,16,30,58.5,55.3,33.6,30,16.5,16.3,28.9,28.1,72.5,58.8,55,38.4,37.1,6.9,6.5,51.1,44.7,29.3,37.7,72.4,,,,2024,,,,-9.3439389407887,76,72
"UC Irvine",107.85800913831,98.834414084139,0.73199191518698,23–9,23,32,52,45.9,34.6,35.5,17,17.5,31.3,27.7,69.5,51.9,44.2,34.9,33.3,8.2,8.5,54.9,48.2,27.8,30.4,69.4,,,,2024,,,,-2.6494444199459,75.5,71.1
Furman,108.59231982221,107.45086614575,0.53034279757157,15–15,15,30,52.1,52.9,31,28.5,15.9,16.2,29.4,26.6,70.4,54.3,53.9,33.2,34.1,6.7,11.5,58.3,49.9,48.2,35,69.8,,,,2024,,,,-9.2232370564955,73.5,68.8
UAB,112.35688212294,106.98908966745,0.63713806964426,22–11,22,33,50.1,51,40.5,31.4,16.7,16.1,35.3,31,68.7,50.4,50.2,33.1,35,12.3,10,49.6,48.9,31.3,36.7,68.7,,,,2024,,,,-2.7405144874484,74.3,72.2
Tulane,109.88287221118,107.36023768893,0.56637807106999,13–17,13,30,54.1,51.1,45.5,32.7,15.1,17.3,20.5,32.7,73.2,54.5,50.2,35.5,34.9,11.4,9.6,50.4,57.2,35.7,42,73.8,,,,2024,,,,-9.4348192625281,73.1,71.4
FIU,99.919986613,109.95539261419,0.24962601985,10–22,10,32,49.7,55.6,28.4,35.9,18.9,24.1,27,37.3,71.4,49.9,52.9,32.9,40.3,11,10.4,51.5,55.1,41.7,36,71.2,,,,2024,,,,-16.274654189016,66.4,70
BYU,120.6304713393,98.220419515029,0.91399774038336,23–10,23,33,55.1,48,25.3,32.1,15.2,16,32.8,24.7,70,58,48.2,34.8,31.8,7.7,7.1,63.2,47.2,50.7,34.1,70,,,,2024,,,,2.870185480467,73.8,69.8
"Illinois Chicago",100.62902318108,101.52550410964,0.47452278275253,11–21,11,32,50.6,48.9,26,35.9,17.7,17.4,22.9,28.4,68.6,48.4,49.2,36,32.2,13.7,10.5,53.5,52.4,40.8,35,69.1,,,,2024,,,,-13.27836893857,69.2,75.1
Xavier,111.66999666097,98.284779137743,0.81279995652836,16–17,16,33,49,49.6,32,30,16.2,16.2,32.1,29,71.4,48,49.4,34,33.3,8.4,11.5,59.9,60.1,32,35.9,71.9,,,,2024,,,,-2.0772676509338,74.4,71.6
Charlotte,108.49403761699,101.62146171915,0.67973742694396,18–12,18,30,50.8,48.5,35.2,31.5,15.5,15.2,26.1,29,63.2,53.2,49.5,31.3,31.1,9.5,8,53.6,45,38.2,36.6,63.4,,,,2024,,,,-4.9736321400725,75.2,70.9
Canisius,100.57323815557,106.72517793212,0.33564438516681,13–18,13,31,49.6,51.2,27.5,28,19.1,16.3,32.8,28.1,68.2,49.7,51,32.9,34.4,8.2,7.5,47.8,51.1,36.1,31.8,68,,,,2024,,,,-13.175321297305,61.9,70.6
"Wake Forest",116.38972314682,99.640933449353,0.8565306418831,20–13,20,33,54.7,48.9,31.5,30.7,15.6,16.2,26.3,26.2,68.7,54,48.8,37.2,32.6,10.8,9.4,44.9,42.2,37.7,34.8,69,,,,2024,,,,-1.3393755388192,79.5,74.8
"Florida Atlantic",117.64553522909,102.62258496185,0.82794157558427,25–8,25,33,55,49.7,34.8,27.5,15.8,16.5,33.8,29.2,69,56,49.3,35.6,33.6,7.8,6.7,51,37.9,38.8,36.3,68.9,,,,2024,,,,1.2367046757257,72,72.7
Northeastern,105.89702844607,109.76850773709,0.39821108127302,12–20,12,32,51.2,53.8,29.8,28.3,18.9,17,31.8,27.7,65.8,53.3,52.3,31.8,37.5,9.8,8.4,53.7,51,36.1,38.8,66.7,,,,2024,,,,-14.084212709814,74.8,76.1
"Robert Morris",100.42133554224,112.95547406131,0.20544257853003,8–22,8,30,50.3,53.3,28,36.8,20,15.8,33.2,29.5,68.5,50,54.3,33.8,34.3,7.4,7.7,52.1,50.8,42.6,34.8,68,,,,2024,,,,-17.186259133505,71.9,73
Seattle,103.96476344207,99.770615081707,0.61622382809909,18–14,18,32,50.7,46.4,34.2,37.2,18.5,17.3,29.4,26.1,68.3,50.1,47.4,34.3,29.7,8,9,51,48.2,38.1,33.7,67.7,,,,2024,,,,-8.3678812539084,73.4,70.3
Villanova,110.89375034919,93.9314541903,0.87091611320985,18–15,18,33,50.7,48.2,26.5,25.9,14.5,16.1,25.2,24.4,64.2,50.4,47.6,34,32.7,7.9,13.3,52.9,56.9,48,45,64.3,,,,2024,,,,-1.147167506107,81.4,73.4
Howard,104.86249849329,113.087078355,0.29559900000048,16–16,16,32,52,50.9,42.2,39.1,21.4,16.7,33.4,30.7,69.2,49.2,50.8,37.5,34,7.5,10.9,55.3,46.9,38.9,33.2,68.7,,,,2024,,,,-12.073634526542,75,70.1
"Utah St.",114.08849873024,100.07819335063,0.81858059248468,25–6,25,31,54.1,49.6,40,30.4,15.7,16.4,28.5,25.4,69.1,57.1,53.1,32.1,29,11.1,5.9,56.4,49,33.4,36.7,69.5,,,,2024,,,,3.3308786029775,71.2,72
Marist,96.55413458322,100.2846154799,0.39270705236321,18–13,18,31,50.8,47.1,29.8,35,18.4,20.4,23.1,26.8,65.5,49.3,46.8,35.6,31.8,8.6,7.6,52.5,43.9,36.4,38.3,65.5,,,,2024,,,,-9.9849632868232,69.7,68
Toledo,111.60816422518,109.67454450415,0.55007765534531,20–12,20,32,53.3,54.5,35.4,26.3,15.1,18.5,29,28.5,70.2,52,56.4,37.7,34.2,5.3,9.5,45.3,46,28.6,37.2,70.2,,,,2024,,,,-6.353670520156,75.4,72.4
Denver,107.13585430236,115.67615405719,0.29276073015211,13–17,13,30,51.8,54.7,35,32,14,14.2,27.3,27.6,70.5,51.2,54.4,35.1,36.8,9.4,11.2,45.9,44.7,41,35.5,71.4,,,,2024,,,,-12.247837105901,71.8,73.8
"Cal St. Northridge",99.184737781123,104.71667146374,0.34883747364875,17–15,17,32,48.9,48.3,37.6,39.5,19,18,31.1,26.9,73,50.3,47.2,30,33.1,10.1,7.8,50.1,59.2,26.4,44.5,73.6,,,,2024,,,,-10.368267006427,67.5,73.1
Maryland,105.43283937315,94.410280099298,0.78072189449075,16–17,16,33,46.7,46.7,40.8,33.5,17.5,18.8,31.7,29.1,66.3,48.8,45.7,28.9,32.8,11.7,10.3,47,47.8,37.5,30.1,66.4,,,,2024,,,,-4.0667351148147,72,76.6
Rice,106.2808524562,108.90808095944,0.43025286535875,10–21,10,31,50.5,52.6,29.9,27.4,17.3,14.8,28.5,29.5,67.6,50.9,50,33.2,37.9,10,9.9,54.6,54.3,39.4,38.3,66.8,,,,2024,,,,-12.938803600445,69.5,74.2
"Abilene Christian",100.7678527761,104.63353585721,0.39343062479504,14–17,14,31,46.8,52.1,38.7,40.4,17.5,20.7,26.1,30,70.6,45.3,53,34.2,33.3,5.5,8,48.4,46.5,25.5,31.3,69.5,,,,2024,,,,-11.268441675043,73.6,69.3
Rider,101.82627177649,107.32636775864,0.35320712502233,14–17,14,31,47.7,49.2,31.9,36.5,17.9,16,31.4,29,68.5,46.6,47.7,33.7,34.4,10.3,8.1,51.1,51.9,28.1,38.2,68.8,,,,2024,,,,-10.982179692957,75.3,69.5
"Boston College",112.23247552128,102.29977105122,0.74376822089946,19–15,19,34,52.7,50.4,25.5,28.4,15.5,16,27.3,26.7,68,51.8,49.5,36.1,34.6,9.6,8.7,51.6,51.2,38.5,37.8,68.1,,,,2024,,,,-3.6442740425734,75,74.7
Arizona,121.5443340884,93.413599450592,0.95379164800025,25–8,25,33,55,48.7,36.7,25.7,16.1,18.1,36.3,23.1,73.4,54.6,47.8,37.1,33.4,9,8.6,59.1,52.6,32.6,38.2,73,,,,2024,,,,4.8871046118767,71.9,71.1
"Penn St.",110.20931558471,99.89240859136,0.75589590832642,16–17,16,33,50.3,50.2,35.3,36.3,15.7,20.7,26.8,32.2,70.3,50.5,52.5,33.4,30.3,8.8,8.7,48.7,56.7,39.2,32.8,70.8,,,,2024,,,,-4.621214074005,74.7,76.7
Hawaii,103.81659185633,104.70085740953,0.47563498760212,18–14,18,32,52.6,48.5,39,33.6,18.6,15.7,25.8,25.3,67.5,53.8,49.3,34,30.8,6,8,48.7,37.3,42.4,25.4,66.9,,,,2024,,,,-9.2497452987398,72.8,72.9
"San Diego",99.942568327877,106.15938599048,0.3331487608051,16–15,16,31,49,52.5,32,38.6,18.3,18.1,27.1,31.8,72,47.4,53.7,34.8,33.9,10.3,8.9,50.8,62.3,34.1,39.8,72.1,,,,2024,,,,-7.8450816554635,72.1,70.1
"UC Davis",102.06082222029,101.50987179951,0.5155570040196,18–13,18,31,50.2,49.1,38.2,38.4,19.3,20.9,28.6,30.6,67.8,50.8,49.1,32.9,32.7,9.6,8.2,51.1,48.6,37.4,33.1,68.1,,,,2024,,,,-8.3354835393457,75.1,73.8
LSU,109.87831778004,100.11373291167,0.74464766012677,17–15,17,32,52.2,49.5,38.9,33.5,18.6,18.3,30.7,31.2,70.8,51.7,49.2,35.3,33.2,10.7,11.1,44.4,48.8,37.6,41.4,70.7,,,,2024,,,,-3.0742640832022,71.9,75.8
"Fresno St.",102.42618038788,107.81949696076,0.35660369564867,11–21,11,32,51.5,53.1,30.4,28,18.8,15.4,24.4,30.4,65.9,52.6,51.8,33.2,36.9,6.4,11.7,50.4,50.2,38.5,37.3,66.5,,,,2024,,,,-11.323416374869,68.1,68.6
UMKC,100.88822376588,104.60965259764,0.39734017364655,13–16,13,29,49.4,51.1,29.3,45.1,17.9,17.3,31.3,25.3,67.1,48.9,52.7,33.4,32.4,10.8,8.2,50.7,48.6,43.4,37.5,67.4,,,,2024,,,,-11.024251916725,72.6,70.9
