UC Santa Barbara,108.3945927,107.1552743,0.5330122776,19–13,19,32,54.6,48.9,29.7,32,18.2,17.2,27.5,29.2,66.5,52.4,50.5,38.1,30.8,8.4,7.1,58.3,46.1,47.4,36.9,66,,,,2025,,,,-7.871714098,77.2,77.4
Arkansas Pine Bluff,95.92178519,122.3613103,0.05734478299,4–25,4,29,50.3,56.3,32.8,40.5,20.4,16.8,26.3,34.6,72.5,52.6,58.5,31,35.7,6.3,9.2,52.2,59.5,37.9,44.9,72.3,,,,2025,,,,-20.08154209,59,69.6
Portland St.,101.1639139,103.687584,0.4296294686,16–13,16,29,50.5,50,34.3,34.9,18.4,19.6,33.4,30.4,68.5,51.7,51.6,32,31.7,13.7,8.2,48.6,52.7,31.7,39.1,68.9,,,,2025,,,,-9.320731401,63.5,73.4
Indiana,112.4294787,97.946949,0.8300317078,19–13,19,32,51.1,49.8,33.1,29.6,16.7,16.4,31.5,28.1,69.1,52.6,50.3,32.1,32.7,9.2,8.2,58.4,51.8,33.2,38.9,68.7,,,,2025,,,,0.2969384157,70.6,72.5
Louisiana,98.03984608,110.1931428,0.2068697916,11–21,11,32,45.7,51.3,29.8,43.8,16,19.1,25.9,35.5,66.4,45,53.8,31.3,31.5,8.5,11.5,45.3,49.2,38.1,36.9,67,,,,2025,,,,-15.91228012,72.9,73
Central Michigan,104.1074507,108.6128662,0.3805503865,10–17,10,27,49.8,53.1,35.8,31.3,17.6,18.2,32.1,29.1,68.5,51.2,52.5,31.3,35.9,8,8.8,48.9,54.8,33.3,43.9,67.9,,,,2025,,,,-11.54476595,73.2,70.4
Brown,102.7320062,105.9602264,0.4119739873,13–13,13,26,51.1,49.3,28,29.1,17.1,15.7,30.1,30.7,67.3,52.1,49.2,33.1,32.9,14,10.3,54.1,47.9,40.5,37.4,66.5,,,,2025,,,,-8.671567437,63.2,71.3
Wright St.,108.6129977,112.5528563,0.3989681362,13–18,13,31,56.3,53.2,27,34.5,17.8,14.2,28,27.9,68.1,55.3,52.2,38.6,36.7,7.9,7.9,52.3,49.9,37.8,36,68.1,,,,2025,,,,-13.81421506,70,70.4
UC Irvine,105.7811055,96.11595799,0.7506141451,27–6,27,33,51.6,46.2,36.3,21.9,18.3,17.9,28.5,25.9,69.6,51,43.3,35.2,34,9,7,61.1,55.8,35.1,37.8,69.4,,,,2025,,,,0.2086336177,81,72.5
Furman,108.900345,106.9577822,0.5515631589,22–9,22,31,53.6,49.2,35.4,29,17,16.5,30,31,66.5,53.2,49.2,36,32.9,9.1,11.6,64.6,48,51.4,38.6,66.6,,,,2025,,,,-4.438161878,69.6,73.5
